ts,consumo_gas,producao,turno,gas/prod
2020-08-18 22:26:42,3.558851,86.93163,TURNO 3,40.93850535184949
2020-08-18 22:33:13,0.0,0.0,TURNO 3,0.0
2020-08-18 22:38:20,1.5092709999999998,37.65282,TURNO 3,40.08387685172053
2020-08-18 22:43:16,24.66177,497.5708,TURNO 3,49.56434340600373
2020-08-18 22:48:22,28.09057,561.8786,TURNO 3,49.99402006056113
2020-08-18 22:53:18,27.106740000000002,610.9088,TURNO 3,44.371172914844244
2020-08-18 22:58:14,26.4398,635.2668,TURNO 3,41.61999336341834
2020-08-18 23:03:20,26.30827,636.4193,TURNO 3,41.33795125320681
2020-08-18 23:08:16,25.66876,637.2208,TURNO 3,40.282363664211836
2020-08-18 23:13:23,25.62562,634.2032,TURNO 3,40.40600867356078
2020-08-18 23:18:19,25.70597,634.6591,TURNO 3,40.50358688625122
2020-08-18 23:23:14,25.58752,636.3435,TURNO 3,40.210232366638465
2020-08-18 23:28:21,25.54995,592.6964,TURNO 3,43.10798918299487
2020-08-18 23:33:17,25.43169,563.6243,TURNO 3,45.12170607264449
2020-08-18 23:38:23,24.604789999999998,562.9321,TURNO 3,43.70827316473869
2020-08-18 23:43:20,23.13897,562.9791,TURNO 3,41.10093962635558
2020-08-18 23:48:15,22.94199,562.7551,TURNO 3,40.76727158936454
2020-08-18 23:53:22,22.90556,563.4244,TURNO 3,40.65418537074362
2020-08-18 23:58:18,22.94746,560.2591,TURNO 3,40.95865645020313
2020-08-19 00:03:24,22.98923,559.5858,TURNO 3,41.08258286754239
2020-08-19 00:08:20,23.05333,558.4081,TURNO 3,41.284017907333364
2020-08-19 00:13:16,23.09711,558.9674,TURNO 3,41.321032317806015
2020-08-19 00:18:22,23.03388,557.5356,TURNO 3,41.31373853077723
2020-08-19 00:23:18,23.05135,553.9058,TURNO 3,41.61601124234482
2020-08-19 00:28:24,23.01331,552.49,TURNO 3,41.65380368875455
2020-08-19 00:33:20,23.01584,553.0003,TURNO 3,41.61994125500474
2020-08-19 00:38:16,22.97944,556.1182,TURNO 3,41.32114359860907
2020-08-19 00:43:23,22.96429,560.3417,TURNO 3,40.98265397702866
2020-08-19 00:48:19,23.058510000000002,556.7988,TURNO 3,41.4126431306964
2020-08-19 00:53:15,23.05923,555.1624,TURNO 3,41.53600820228459
2020-08-19 00:58:22,23.0147,554.7231,TURNO 3,41.488627389052304
2020-08-19 01:03:17,23.03706,557.0374,TURNO 3,41.35639725447519
2020-08-19 01:08:24,22.9907,562.9046,TURNO 3,40.842977655538796
2020-08-19 01:13:20,23.01502,561.1382,TURNO 3,41.014887241681286
2020-08-19 01:18:16,23.0372,560.1957,TURNO 3,41.123485953212416
2020-08-19 01:23:22,23.07797,560.1639,TURNO 3,41.19860276608328
2020-08-19 01:28:18,23.1129,562.3176,TURNO 3,41.102928309553185
2020-08-19 01:33:24,23.06182,565.4119,TURNO 3,40.78764525472492
2020-08-19 01:38:20,23.10895,566.3527,TURNO 3,40.80310732163897
2020-08-19 01:43:16,23.038729999999997,565.4478,TURNO 3,40.74422077510956
2020-08-19 01:48:22,23.07396,563.1067,TURNO 3,40.976177339037164
2020-08-19 01:53:18,23.09548,561.5358,TURNO 3,41.12913192711845
2020-08-19 01:58:24,23.1481,559.4356,TURNO 3,41.377595562384656
2020-08-19 02:09:50,21.140539999999998,513.4182,TURNO 3,41.17606271067134
2020-08-19 02:17:14,0.0,0.0,TURNO 3,0.0
2020-08-19 02:35:10,0.0,0.0,TURNO 3,0.0
2020-08-19 02:40:06,0.0,0.0,TURNO 3,0.0
2020-08-19 02:45:13,0.0,0.0,TURNO 3,0.0
2020-08-19 02:58:14,9.573445,215.1948,TURNO 3,44.487343560346254
2020-08-19 03:03:20,25.67827,491.1972,TURNO 3,52.27690630158315
2020-08-19 03:08:16,26.18303,552.6467,TURNO 3,47.37751985129016
2020-08-19 03:13:12,25.4243,514.8636,TURNO 3,49.380651496823624
2020-08-19 03:18:19,24.65021,518.1541,TURNO 3,47.57312544665767
2020-08-19 03:23:15,24.29164,517.1284,TURNO 3,46.97409772891993
2020-08-19 03:28:11,23.78743,516.3065,TURNO 3,46.07230395123826
2020-08-19 03:33:17,23.140520000000002,518.335,TURNO 3,44.643946482487195
